feature,importance
river_level_m,0.18662696995468556
soil_saturation_percent,0.1707857466767288
rainfall_mm,0.15114498090589704
climate_zone_Wet,0.09705255969691522
climate_zone_Dry,0.06629317740016782
district_flood_prone,0.05268926214205646
year,0.03814256035402568
month,0.036224927971459375
drainage_quality_Good,0.011030016930324743
drainage_quality_Poor,0.009614862282689525
drainage_quality_Moderate,0.008098591511812765
district_Galle,0.005681852994766625
district_Ratnapura,0.0056016858003512075
climate_zone_Intermediate,0.005498739074242244
district_Gampaha,0.005114470633074491
district_Colombo,0.005068841537646172
district_Matara,0.004737617598204307
district_Ampara,0.00454570043385681
district_Kalutara,0.0034956196210035144
district_Trincomalee,0.0033492741963110197
district_Kegalle,0.0030716968916084833
district_Nuwara Eliya,0.0030146757500714165
district_Anuradhapura,0.0029236204192217958
district_Matale,0.0026555274600995903
division_Trincomalee-DS5,0.0025995056109828062
district_Kurunegala,0.002593716097106629
district_Batticaloa,0.0024904758684480372
district_Vavuniya,0.0023722587653568533
district_Kilinochchi,0.0023040828820285685
district_Jaffna,0.002235181276192907
district_Mannar,0.0021720973119378783
district_Badulla,0.0020872628241784662
district_Mullaitivu,0.0019080997875379354
district_Kandy,0.0018645768754574268
division_Batticaloa-DS5,0.00183940487157388
division_Kurunegala-DS2,0.0017076550975146142
division_Kurunegala-DS1,0.0016770670802256353
district_Polonnaruwa,0.0015950547930007023
district_Hambantota,0.0015706129347499923
district_Puttalam,0.0014425726257221905
district_Moneragala,0.0014318582131737337
division_Nuwara Eliya-DS2,0.0013454087147288588
division_Nuwara Eliya-DS1,0.001268479687482047
division_Batticaloa-DS1,0.001214787408402089
division_Kandy-DS5,0.0011606667715945527
division_Kurunegala-DS4,0.0011370265052008067
division_Kurunegala-DS6,0.0011187430397027905
division_Trincomalee-DS2,0.0010589373282837327
division_Kegalle-DS2,0.001044700958541994
division_Ratnapura-DS1,0.0010377589657994603
division_Kandy-DS2,0.001018457556701702
division_Nuwara Eliya-DS5,0.001017803804821108
division_Matara-DS1,0.0009929895188141497
division_Kurunegala-DS3,0.0009797388108963587
division_Batticaloa-DS3,0.0009451749053497229
division_Gampaha-DS3,0.0009441919727499617
division_Mullaitivu-DS6,0.0009421584667915118
division_Kurunegala-DS5,0.0009268965956619076
division_Trincomalee-DS6,0.0009143126725878938
division_Nuwara Eliya-DS3,0.0008975235711109065
division_Trincomalee-DS3,0.0008908805733199769
division_Nuwara Eliya-DS4,0.0008866251258014666
division_Galle-DS3,0.0008852984149970403
division_Moneragala-DS4,0.0008827453494905536
division_Matara-DS5,0.0008692486451181392
division_Ratnapura-DS5,0.0008581364951876877
division_Batticaloa-DS4,0.0008419570253805629
division_Matara-DS2,0.0008256509954361139
division_Kandy-DS1,0.0008175015090180221
division_Colombo-DS3,0.0008166274284837152
division_Badulla-DS2,0.0008122764437227991
division_Trincomalee-DS4,0.0007874671308920044
division_Mannar-DS3,0.0007748932690080338
division_Kalutara-DS2,0.0007741401774641337
division_Vavuniya-DS4,0.0007607129148146993
division_Gampaha-DS6,0.0007601587201600573
division_Nuwara Eliya-DS6,0.0007503197703425909
division_Galle-DS2,0.000748926922125843
division_Batticaloa-DS6,0.0007488818474936021
division_Kegalle-DS4,0.0007486141132842751
division_Kalutara-DS5,0.000745505351776285
division_Matale-DS4,0.0007452453422060913
division_Matale-DS3,0.0007440197948099336
division_Kandy-DS4,0.0007378932189590638
division_Ratnapura-DS3,0.0007208820561085006
division_Colombo-DS4,0.0007169065820646089
division_Galle-DS1,0.0007133405438989255
division_Galle-DS6,0.0007109429499496696
division_Gampaha-DS1,0.0007062889786458611
division_Badulla-DS6,0.000704871279662125
division_Kegalle-DS6,0.0007031008259316412
division_Kalutara-DS1,0.0007011298157953763
division_Badulla-DS1,0.0006922408273333365
division_Ratnapura-DS4,0.0006901700271210402
division_Batticaloa-DS2,0.0006843344055205029
division_Galle-DS5,0.0006821257377927307
division_Matara-DS3,0.0006775078959425362
division_Kegalle-DS3,0.0006720501986550214
division_Matale-DS2,0.000663878424444218
division_Gampaha-DS4,0.0006562391011515774
division_Kalutara-DS3,0.0006559677924407948
division_Matara-DS4,0.0006536303091857277
division_Badulla-DS5,0.000650658597603553
division_Matara-DS6,0.0006489326612276011
division_Galle-DS4,0.0006395792001196449
division_Colombo-DS2,0.0006378976742571688
division_Gampaha-DS2,0.000622918344364482
division_Trincomalee-DS1,0.0006178176176040666
division_Matale-DS5,0.000616355974129353
division_Vavuniya-DS6,0.0005915086595095354
division_Vavuniya-DS5,0.0005825613709710473
division_Kegalle-DS1,0.0005823397508602334
division_Kandy-DS6,0.000572443662480665
division_Colombo-DS5,0.0005714967542189745
division_Ratnapura-DS6,0.0005619478261330104
division_Moneragala-DS5,0.0005588484838539395
division_Kandy-DS3,0.0005507642324389508
division_Anuradhapura-DS5,0.0005471259465156438
division_Badulla-DS4,0.0005288387491546528
division_Gampaha-DS5,0.0005164925272353521
division_Hambantota-DS5,0.0005083564291993195
division_Kalutara-DS6,0.0005048034962054484
division_Puttalam-DS2,0.0005032378205071675
division_Colombo-DS1,0.0004989284236673407
division_Hambantota-DS3,0.0004946465810365981
division_Kegalle-DS5,0.0004888780091360373
division_Kalutara-DS4,0.0004883203022434333
division_Anuradhapura-DS6,0.00048755859030730637
division_Anuradhapura-DS3,0.0004857919325129493
division_Puttalam-DS6,0.0004840905965464061
division_Matale-DS1,0.000478050214488708
division_Colombo-DS6,0.00046682981229942394
division_Polonnaruwa-DS3,0.0004618390371728286
division_Mullaitivu-DS3,0.0004607945340990278
division_Matale-DS6,0.0004538217919694171
division_Badulla-DS3,0.00045245431971265644
division_Polonnaruwa-DS2,0.0004522216289602414
division_Ampara-DS1,0.0004516058849466102
division_Ratnapura-DS2,0.00044016495430292807
division_Moneragala-DS3,0.0004364579949809142
division_Moneragala-DS1,0.00043443239186034306
division_Polonnaruwa-DS4,0.00043071336976179057
division_Hambantota-DS1,0.000424183063885869
division_Kilinochchi-DS2,0.00042161674807487563
division_Kilinochchi-DS4,0.00042091105024677196
division_Jaffna-DS6,0.00038688843028075655
division_Mannar-DS1,0.0003861172610067487
division_Moneragala-DS6,0.0003834648785763277
division_Mullaitivu-DS2,0.00036574465223222465
division_Mullaitivu-DS5,0.00036564385203702624
division_Hambantota-DS4,0.0003586257889381604
division_Puttalam-DS5,0.0003454163703372628
division_Ampara-DS5,0.0003354297780941073
division_Puttalam-DS1,0.00031013263454623686
division_Ampara-DS3,0.0003029382935974015
division_Hambantota-DS6,0.0002864450637796169
division_Hambantota-DS2,0.0002853208943864919
division_Polonnaruwa-DS6,0.0002763754142602362
division_Puttalam-DS3,0.00026905592019686064
division_Mannar-DS2,0.00025865027591336965
division_Polonnaruwa-DS5,0.0002509991526892911
division_Ampara-DS6,0.0002443172853298064
division_Kilinochchi-DS3,0.00024337774728327448
division_Kilinochchi-DS6,0.00024232859327265349
division_Mannar-DS6,0.00024095905053981304
division_Jaffna-DS3,0.00022821092930751645
division_Mullaitivu-DS4,0.00022320982955616314
division_Jaffna-DS2,0.00021851139276307712
division_Jaffna-DS4,0.00021733705697848162
division_Anuradhapura-DS2,0.00021573037851984494
division_Vavuniya-DS3,0.00019631216424059484
division_Mannar-DS4,0.00018881997598607634
division_Puttalam-DS4,0.00018601948327463835
division_Ampara-DS2,0.00017976862197324872
division_Polonnaruwa-DS1,0.00017655265248295773
division_Mullaitivu-DS1,0.00017516559063113346
division_Moneragala-DS2,0.00017511789071487103
division_Vavuniya-DS1,0.000172373134733998
division_Ampara-DS4,0.00016846699875962628
division_Jaffna-DS1,0.000162591670769081
division_Jaffna-DS5,0.00014802716773962076
division_Mannar-DS5,0.0001443532224844623
division_Kilinochchi-DS5,0.00013546925844313317
division_Anuradhapura-DS1,0.00011232011857308096
division_Vavuniya-DS2,0.00011030984903543764
division_Kilinochchi-DS1,0.00010020374012115387
division_Anuradhapura-DS4,5.810778624440632e-05
